DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480;P7480S1;P7480S2;P7480S3;P7480S4;P7480S5;P7480S6;P7480S7;P7480S8;P7480S9;P7480S10;P7480S11;P7480S1A1;P7480S2A1;P7480S3A1;P7480S4A1;P7480S5A1;P7480S6A1;P7480S7A1;P7480S8A1;P7480S9A1;P7480S10A1;P7480S11A1;DPTO;fex_c_2011
1080816;1;1;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;555,341233254277
1080816;1;2;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;25; ;45; ; ; ; ; ; ;63;555,341233254277
1080816;1;3;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;5; ; ; ; ; ; ; ; ;63;555,341233254277
1080816;1;4;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;12; ;10; ; ; ; ; ; ;63;555,341233254277
1080817;1;1;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;7; ; ; ; ; ; ; ; ;63;704,74036841534
1080818;1;1;1;90; ;2; ;2;2;2;2;2;2;1;1;2; ; ; ; ; ; ; ; ;10;7; ;63;579,860611467529
1080818;1;2;1;90; ;2; ;1;2;2;2;1;2;2;2;2; ; ;25; ; ; ;4; ; ; ; ;63;579,860611467529
1080818;1;3;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;579,860611467529
1080818;1;4;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;579,860611467529
1080818;1;5;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;579,860611467529
1080819;1;1;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;630,233869282483
1080819;1;2;1;90; ;1; ;1;2;1;2;2;2;2;2;2;14; ;20; ;40; ; ; ; ; ; ;63;630,233869282483
1080819;1;3;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;3; ; ; ; ; ; ; ; ;63;630,233869282483
1080819;1;6;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;630,233869282483
1080839;1;1;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;14; ;7; ; ; ; ; ; ;63;489,829611055449
1080839;1;2;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;21; ;21; ; ; ; ; ; ;63;489,829611055449
1080840;1;1;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;14; ; ; ; ; ; ; ; ;63;414,936975027243
1080840;1;2;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;21; ;35; ; ; ; ; ; ;63;414,936975027243
1080841;1;1;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;672,069851668729
1080841;1;2;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;28; ;21; ; ; ; ; ; ;63;672,069851668729
1080842;1;1;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;28; ; ; ; ; ; ; ; ;63;503,833507009635
1080842;1;2;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;7; ; ; ; ; ; ; ; ;63;503,833507009635
1080843;1;1;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;755,62446748805
1080843;1;2;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;35; ; ; ; ; ; ; ; ;63;755,62446748805
1080843;1;3;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;4; ; ; ; ; ; ; ; ;63;755,62446748805
1080843;1;4;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;7; ; ; ; ; ; ; ; ;63;755,62446748805
1080843;1;5;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;7; ; ; ; ; ; ; ; ;63;755,62446748805
1080844;1;1;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;4; ; ; ; ; ; ; ; ;63;569,753208190655
1080844;1;2;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;28; ; ; ; ; ; ; ; ;63;569,753208190655
1080844;1;3;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;21; ; ; ; ; ; ; ; ;63;569,753208190655
1080845;1;1;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;7; ;7; ; ; ; ; ; ;63;615,220209261016
1080845;1;2;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;35; ;21; ; ; ; ; ; ;63;615,220209261016
1080845;1;3;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;7; ; ; ; ; ; ; ; ;63;615,220209261016
1080846;1;1;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;791,923441070748
1080846;1;2;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;35; ;21; ; ; ; ; ; ;63;791,923441070748
1080846;1;3;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;28; ;35; ; ; ; ; ; ;63;791,923441070748
1080846;1;4;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;5; ;5; ; ; ; ; ; ;63;791,923441070748
1080846;1;5;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;7; ; ; ; ; ; ; ; ;63;791,923441070748
1080846;1;10;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;5; ; ; ; ; ; ; ; ;63;791,923441070748
1080846;1;11;1;90; ;1; ;1;2;2;2;2;2;2;2;2;4; ;5; ; ; ; ; ; ; ; ;63;791,923441070748
1080847;1;1;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;827,101633021881
1080847;1;2;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;35; ;35; ; ; ; ; ; ;63;827,101633021881
