DIRECTORIO,SECUENCIA_P,ORDEN,AREA,REGIS,P7495,P7500,P7500S1,P7500S2,P7500S3A1,P7500S2A1,P7500S1A1,P7500S3,P7505,P7510S3,P7510S4,P7510S6,P7510S2A1,P7510S4A1,P7510S6A1,P7510S5A1,P7510S3A1,P7510S1A1,P7510S5,P7510S1,P7510S2,P7510S7A1,P7510S7,DPTO,fex_c_2011
676658,1,3,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,571.513.864.751.575
676658,1,4,5,95,2,,,,,,,,1,2,,1,,,130000,,,,2,2,2,,2,5,571.513.864.751.575
676658,1,5,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,571.513.864.751.575
676659,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,900.360.298.083.963
676659,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,900.360.298.083.963
676660,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,707.530.638.672.041
676660,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,707.530.638.672.041
676661,1,1,5,95,1,,1,2,,,140000,2,1,2,,2,,,,,,2400000,2,1,2,,2,5,630.978.185.619.417
676661,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,630.978.185.619.417
676661,1,3,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,630.978.185.619.417
676661,1,4,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,630.978.185.619.417
676662,1,1,5,95,2,,,,,,,,1,2,,1,,,80000,,,,2,2,2,,2,5,813.554.497.058.309
676662,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,813.554.497.058.309
676663,1,1,5,95,1,,2,1,,461500,,2,2,,,,,,,,,,,,,,,5,672.470.972.523.483
676663,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,672.470.972.523.483
676664,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,114.558.030.628.434
676664,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,114.558.030.628.434
676664,1,3,5,95,2,,,,,,,,1,2,,2,,,,,,,2,2,2,450000,1,5,114.558.030.628.434
676664,1,4,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,114.558.030.628.434
676665,1,1,5,95,2,,,,,,,,1,2,,1,,,450000,,,,2,2,2,,2,5,929.713.755.936.131
676665,1,2,5,95,2,,,,,,,,1,2,,2,,,,,,,2,2,2,480000,1,5,929.713.755.936.131
676666,1,1,5,95,1,,2,1,,700000,,2,2,,,,,,,,,,,,,,,5,820.157.653.944.291
676666,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,820.157.653.944.291
676666,1,3,5,95,2,,,,,,,,1,2,,1,,,240000,,,,2,2,2,,2,5,820.157.653.944.291
676666,1,4,5,95,2,,,,,,,,1,2,,1,,,162000,,,,2,2,2,,2,5,820.157.653.944.291
676666,1,5,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,820.157.653.944.291
676669,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,888.318.807.728.402
676669,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,888.318.807.728.402
676669,1,3,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,888.318.807.728.402
676670,1,1,5,95,2,,,,,,,,1,2,,1,,,1000000,,,,2,2,2,,2,5,858.065.023.059.592
676670,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,858.065.023.059.592
676670,1,3,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,858.065.023.059.592
676670,1,4,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,858.065.023.059.592
676670,1,5,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,858.065.023.059.592
676671,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,816.145.439.112.156
676671,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,816.145.439.112.156
676671,1,3,5,95,1,,2,2,80000,,,1,2,,,,,,,,,,,,,,,5,816.145.439.112.156
676672,1,1,5,95,2,,,,,,,,1,2,,2,,,,,,,2,2,2,920000,1,5,77.149.998.238.341
676672,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,77.149.998.238.341
676672,1,3,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,77.149.998.238.341
676673,1,1,5,95,1,,2,1,,461500,,2,2,,,,,,,,,,,,,,,5,142.750.272.844.149
676673,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,142.750.272.844.149
676674,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,124.144.967.529.278
676674,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,124.144.967.529.278
676675,1,1,5,95,2,,,,,,,,1,2,,1,,,60000,,,,2,2,2,,2,5,139.076.663.738.894
676675,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,139.076.663.738.894
676676,1,1,5,95,1,,1,2,,,100000,2,2,,,,,,,,,,,,,,,5,201.795.019.704.816
676676,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,201.795.019.704.816
676676,1,3,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,201.795.019.704.816
676677,1,1,5,95,2,,,,,,,,1,2,,1,,,55300,,,,2,2,2,,2,5,180.072.059.616.793
676677,1,2,5,95,2,,,,,,,,1,2,,1,,,55300,,,,2,2,2,,2,5,180.072.059.616.793
676678,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,569.219.774.669.774
676678,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,569.219.774.669.774
676678,1,3,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,569.219.774.669.774
676678,1,4,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,569.219.774.669.774
676678,1,5,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,569.219.774.669.774
676679,1,1,5,95,1,,2,1,,461500,,2,2,,,,,,,,,,,,,,,5,795.920.560.745.695
676679,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,795.920.560.745.695
676679,1,3,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,795.920.560.745.695
676679,1,5,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,795.920.560.745.695
676679,1,6,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,795.920.560.745.695
676679,2,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,795.920.560.745.695
676679,2,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,795.920.560.745.695
676680,1,1,5,95,2,,,,,,,,1,2,,2,,,,,,3500000,2,1,2,,2,5,739.381.854.924.354
676680,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,739.381.854.924.354
676681,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,813.554.497.058.309
676681,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,813.554.497.058.309
676682,1,1,5,95,1,,1,1,,461500,70000,2,2,,,,,,,,,,,,,,,5,713.751.364.220.745
