DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,FEX_C,CLASE,P7430,P7440,P7450,P7450S1,P7460,P7470,P7472,P7472S1,P7454,P7456,P7458S1,P7458,P7452,INI,MES,DPTO,AREA,fex_c_2011
2731763,2,2,2,80,133.845.482.368.345,1,1,1,8,,2,,2,,,,,9,2,1,7,63,63,133.925.539.524.219
2731764,1,1,1,80,135.688.805.073.612,1,1,4,9,LOS HIJOS NO SE LO PERMITEN,2,,2,,,,LOS HIJOS NO SE LO PERMITEN,12,2,1,7,63,63,13.522.205.732.012
2731765,1,2,1,80,126.513.519.767.472,1,1,3,7,,2,,2,,,1,,1,1,1,7,63,63,127.087.637.226.862
2731765,1,3,1,80,126.513.519.767.472,1,2,,,,2,,2,,2,,.,,,1,7,63,63,127.087.637.226.862
2731766,1,1,1,80,121.027.129.993.698,1,1,4,4,,2,,2,,,,,8,2,1,7,63,63,120.725.800.289.958
2731767,1,4,1,80,128.111.846.898.976,1,2,,,,2,,2,,2,,.,,,1,7,63,63,128.175.357.497.142
2731769,1,3,1,80,125.588.405.000.784,1,2,,,,2,,2,,2,,.,,,1,7,63,63,124.798.050.640.742
2731769,1,4,1,80,125.588.405.000.784,1,2,,,,2,,2,,2,,.,,,1,7,63,63,124.798.050.640.742
2731769,1,6,1,80,125.588.405.000.784,1,1,2,3,,2,,2,,,,,9,2,1,7,63,63,124.798.050.640.742
2731769,1,8,1,80,125.588.405.000.784,1,2,,,,2,,2,,2,,.,,,1,7,63,63,124.798.050.640.742
2731770,1,2,1,80,145.386.885.904.134,1,1,2,3,,2,,2,,,,,9,2,1,7,63,63,14.535.497.931.212
2731773,1,5,1,80,125.941.955.092.765,1,2,,,,2,,2,,2,,.,,,1,7,63,63,125.983.818.940.841
2731773,1,6,1,80,125.941.955.092.765,1,1,1,6,,2,,2,,,,,8,2,1,7,63,63,125.983.818.940.841
2731773,1,7,1,80,125.941.955.092.765,1,1,2,3,,2,,2,,,,,9,2,1,7,63,63,125.983.818.940.841
2731775,1,3,1,80,106.989.257.738.402,1,2,,,,2,,2,,2,,.,,,1,7,63,63,108.442.829.401.656
2731775,1,4,1,80,106.989.257.738.402,1,2,,,,2,,2,,2,,.,,,1,7,63,63,108.442.829.401.656
2731776,1,2,1,80,955.459.365.402.769,1,1,4,3,,2,,2,,,,,9,2,1,7,63,63,945.741.829.149.504
2731776,1,4,1,80,955.459.365.402.769,1,2,,,,2,,2,,2,,.,,,1,7,63,63,945.741.829.149.504
2731776,1,5,1,80,955.459.365.402.769,1,1,4,4,,2,,2,,,,,8,2,1,7,63,63,945.741.829.149.504
2731776,1,7,1,80,955.459.365.402.769,1,2,,,,2,,2,,2,,.,,,1,7,63,63,945.741.829.149.504
2731777,1,3,1,80,125.746.423.346.766,1,2,,,,2,,2,,2,,.,,,1,7,63,63,126.069.047.114.056
2731778,1,1,1,80,133.334.935.272.754,1,2,,,,2,,2,,2,,.,,,1,7,63,63,131.985.120.879.109
2731779,1,2,1,80,121.814.381.305.485,1,2,,,,2,,2,,2,,.,,,1,7,63,63,121.347.909.627.109
2731780,1,1,1,80,129.482.216.636.823,1,1,4,3,,2,,2,,,,,9,2,1,7,63,63,128.770.659.062.391
2731781,1,1,1,80,131.512.462.136.007,1,1,4,4,,2,,2,,,,,4,2,1,7,63,63,131.480.831.619.109
2731781,1,2,1,80,131.512.462.136.007,1,2,,,,2,,2,,2,,.,,,1,7,63,63,131.480.831.619.109
2731783,1,1,1,80,129.482.216.636.823,1,1,4,4,,2,,2,,,,,4,2,1,7,63,63,128.770.659.062.391
2731785,1,2,1,80,13.328.212.116.194,1,1,3,3,,2,,2,,,,,9,2,1,7,20,20,134.825.491.643.369
2731786,1,1,1,80,118.776.197.524.612,1,1,4,4,,2,,2,,,,,4,2,1,7,20,20,12.095.600.928.119
2731786,1,3,1,80,118.776.197.524.612,1,2,,,,2,,2,,2,,.,,,1,7,20,20,12.095.600.928.119
2731786,1,4,1,80,118.776.197.524.612,1,2,,,,2,,2,,2,,.,,,1,7,20,20,12.095.600.928.119
2731787,1,1,1,80,135.710.709.060.196,1,1,4,4,,2,,2,,,,,8,2,1,7,20,20,132.221.734.069.724
2731787,1,2,1,80,135.710.709.060.196,1,2,,,,2,,2,,2,,.,,,1,7,20,20,132.221.734.069.724
2731788,1,3,1,80,136.091.466.883.463,1,1,1,2,,2,,2,,,,,2,2,1,7,20,20,131.803.399.351.709
2731789,1,1,1,80,135.710.709.060.196,1,1,3,4,,2,,2,,,,,4,2,1,7,20,20,132.221.734.069.724
2731789,1,2,1,80,135.710.709.060.196,1,1,2,3,,2,,2,,,,,9,2,1,7,20,20,132.221.734.069.724
2731790,1,1,1,80,140.210.638.031.936,1,2,,,,2,,2,,2,,.,,,1,7,20,20,142.542.030.114.615
2731790,1,3,1,80,140.210.638.031.936,1,1,2,3,,2,,2,,,,,9,2,1,7,20,20,142.542.030.114.615
2731791,1,1,1,80,111.786.847.443.186,1,1,4,3,,2,,2,,,,,9,2,1,7,20,20,110.645.075.045.163
2731792,1,3,1,80,106.171.656.420.726,1,2,,,,2,,2,,2,,.,,,1,7,20,20,104.539.379.847.967
2731793,1,3,1,80,134.883.752.942.734,1,2,,,,2,,2,,2,,.,,,1,7,20,20,138.637.067.940.056
2731793,1,4,1,80,134.883.752.942.734,1,2,,,,2,,2,,2,,.,,,1,7,20,20,138.637.067.940.056
2731794,1,1,1,80,856.131.614.499.678,1,2,,,,2,,2,,2,,.,,,1,7,20,20,835.282.352.294.761
2731794,1,3,1,80,856.131.614.499.678,1,2,,,,2,,2,,2,,.,,,1,7,20,20,835.282.352.294.761
2731795,1,2,1,80,133.833.931.362.942,1,1,1,4,,2,,2,,,,,4,2,1,7,20,20,137.273.004.353.449
2731798,1,1,1,80,789.874.490.915.789,1,1,1,4,,2,,2,,,,,4,2,1,7,20,20,788.009.340.300.472
2731799,1,4,1,80,104.092.884.422.253,1,1,1,6,,2,,2,,,,,2,2,1,7,20,20,101.865.046.484.937
2731799,1,6,1,80,104.092.884.422.253,1,1,3,4,,2,,2,,,1,,4,1,1,7,20,20,101.865.046.484.937
2731800,1,2,1,80,118.473.393.013.006,1,2,,,,2,,2,,2,,.,,,1,7,20,20,117.966.772.009.374
2731801,1,2,1,80,134.409.896.053.393,1,1,4,3,,2,,2,,,,,9,2,1,7,20,20,132.781.983.240.145
2731801,1,3,1,80,134.409.896.053.393,1,2,,,,2,,2,,2,,.,,,1,7,20,20,132.781.983.240.145
2731802,1,2,1,80,865.457.294.742.366,1,1,1,8,,2,,1,150000,,1,,3,1,1,7,20,20,855.574.132.215.412
2731802,1,4,1,80,865.457.294.742.366,1,2,,,,2,,2,,2,,.,,,1,7,20,20,855.574.132.215.412
2731804,1,2,1,80,105.961.950.975.194,1,2,,,,2,,2,,2,,.,,,1,7,20,20,107.823.561.994.077
2731805,1,2,1,80,157.294.483.901.636,1,1,1,8,,2,,2,,,,,9,2,1,7,20,20,15.649.030.567.173
2731808,1,4,1,80,330.267.832.176.713,1,2,,,,2,,2,,2,,.,,,1,7,68,68,327.832.071.054.029
2731810,1,1,1,80,505.027.125.112.434,1,1,4,5,,2,,2,,,,,8,2,1,7,68,68,503.891.713.988.916
2731811,1,2,1,80,509.563.596.620.253,1,1,1,9,PORQUE SE IBA DE VIAJE,2,,2,,,,,4,2,1,7,68,68,510.060.581.402.549
