Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
2862489;1;2;1;70;66;2;40;1; ;2;2;3; ;1;2; ; ; ; ; ; ; ; ; ;1; ;1;300000;2;45;54;95;1;1;9500;01;66;300,958552476466
2862490;1;1;1;70;66;12;40;1; ;2;12;4; ;1;1; ; ; ; ;1; ; ; ; ; ; ;2; ;2;85;21;64;1;1;6421;01;66;296,302720422526
2862492;1;4;1;70;66;10;40;1; ;2;52;1; ;5;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;1;8043;01;66;221,063612460703
2862498;1;2;1;70;66;52;48;1; ;2;52;8; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;81;62;01;1;2;0111;01;66;269,053960811723
2862501;1;2;1;70;66;24;48;1; ;2;24;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;97;52;1;2;5211;01;66;323,348957197105
2862502;1;3;1;70;66;48;48;1; ;2;8;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;59;92;1;2;9241;01;66;297,932549117597
2862502;1;4;1;70;66;52;48;1; ;2;8;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;59;92;1;2;9241;01;66;297,932549117597
2862511;1;1;1;70;66;3;48;1; ;2;8;1; ;3;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;01;66;261,129558404287
2862511;1;3;1;70;66;4;48;1; ;2;4;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;53;55;1;1;5522;01;66;261,129558404287
2862521;1;3;1;70;17;26;48;1; ;2;26;1; ;7;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;79;79;19;1;2;1921;01;17;127,494135137496
2862527;1;3;1;70;17;4;48;1; ;2;4;1; ;9;3; ; ; ; ; ; ; ; ; ;1; ;1;535600;2;77;97;52;1;1;5211;01;17;117,359023727016
2862528;1;3;1;70;17;36;48;3; ;2;36;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;55;80;1;2;8043;01;17;160,588623202849
2862528;1;7;1;70;17;3;48;1; ;2;3;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;150000;2;95;95;45;1;1;4521;01;17;160,588623202849
2862532;1;2;1;70;17;36;24;1; ;2;36;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5233;01;17;224,956639364981
2862539;1;2;1;70;17;4;48;1; ;2;48;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;30;52;1;1;5211;01;17;154,194943293414
2862540;1;2;1;70;17;3;24;3; ;2;2;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;100000;2;54;54;95;1;1;9500;01;17;152,480719051461
2862543;1;3;1;70;17;16;48;1; ;2;16;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;38;38;64;1;2;6421;01;17;97,2649683853233
2862555;1;1;1;70;17;150;74;1; ;2;150;1; ;9;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2;21;21;75;1;2;7530;01;17;169,495180729906
