Directorio;Secuencia_p;Orden;Regis;P7250;P7260;P7280;P7280s1;P7290;P7300;P7310;P7320;P7350;P7350s1;P7360;P7370;P7380;P7380s1;P7390;P7390s1;P7400;P7410;P7410s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P7424;P7424s1;Clase;Oficio1;Oficio2;Rama4d_d;Rama2d_d;Dpto;Fex_c_2011
392531;1;3;70;24;8;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;32; ; ; ;68;1120,48885084759
392541;1;1;70;4;48;1; ;1;1;2;2;4; ;1;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;300000;1;3000000;2;95;97;6310;63;68;1735,54273353027
392546;2;3;70;6;48;1; ;1;1;2;8;8; ;2;2;2; ;8; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;230000;2;62;62;0121;01;68;1882,46349819049
392552;1;1;70;2;48;1; ;1;1;2;2;1; ;1;2;2; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;160000;1;800000;2;53;53;5519;55;68;1030,06053675203
392564;1;1;70;8;48;1; ;1;1;2;4;4; ;1;2;2; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;200000;1;1500000;2;98;62;0140;01;68;543,204383605595
392596;1;3;70;16;50;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;73;1595,97422369097
392604;1;3;70;48;50;3; ;1;1;2;48;3; ;1;2;4; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;54;54;9500;95;73;803,752473814831
392645;1;3;70;6;50;3; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;54; ; ; ;73;2034,88550930809
392648;1;4;70;6;50;8; ;1;1;2;6;8; ;2;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1800000;2;62;62;0117;01;73;1406,61781299915
392651;1;6;70;16;48;1; ;2;1;2;20;8; ;3;2;2; ;1; ;2;6; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;62;62;0121;01;73;1817,30891110123
392653;1;4;70;12;48;1; ;1;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;53; ; ; ;73;1098,02236123684
392655;1;1;70;3;50;8; ;1;1;2;3;8; ;3;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;120000;1;1500000;2;62;62;0121;01;73;1300,08725961932
392669;1;1;70;10;42;1; ;1;1;2;10;8; ;5;2;2; ;1; ;2;2; ; ; ; ; ; ; ;1; ; ; ;2; ;1;5000000;2;62;62;0115;01;73;924,764758828058
392672;1;2;70;4;40;3; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;54; ; ; ;73;1160,1441700179
392686;1;4;70;4;60;8; ;1;1;2;5;8; ;2;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;62;62;0114;01;17;430,578908927059
392690;1;3;70;4;4;2; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;32; ; ; ;17;305,498249498288
392691;1;4;70;3;56;2; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;13; ; ; ;17;500,135071940777
392728;1;3;70;48;40;1; ;2;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;17;281,261798291319
392730;1;2;70;24;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;17;259,492458131787
392742;1;3;70;20;40;1; ;1;1;2;52;3; ;2;2;5; ;4; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;54;54;9500;95;17;331,075670742174
392750;1;1;70;4;60;1; ;1;1;2;4;1; ;3;2;5; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1600000;2;62;62;0111;01;17;328,065628955662
