Directorio;Secuencia_p;Orden;Hogar;Regis;P6016;P6020;P6030;P6030s1;P6030s3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210s1;P6220;Clase;Esc;Mes;Dpto;Fex_c_2011
3156741;1;4;1;10;4;1;1;9;2004;8;3; ;1; ; ;3; ; ;2;1;1;1;3;2; ;2;2;02;13;1680,94730753204
3156741;1;5;1;10;2;2;1;5;2009;3;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;02;13;1680,94730753204
3156743;1;1;1;10;1;1;1;10;1969;43;1;2;1; ; ;3; ; ;2;1;2; ;4;6; ;2;6;02;13;1546,31873871448
3156743;1;2;1;10;2;2;1;9;1982;30;2;2;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;02;13;1546,31873871448
3156744;1;1;1;10;1;1;1;3;1978;34;1;2;1; ; ;3; ; ;2;1;2; ;3;4; ;2;4;02;13;1562,46094396615
3156744;1;2;1;10;2;2;1;8;1978;34;2;2;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;02;13;1562,46094396615
3156744;1;3;1;10;3;2;1;5;2003;9;3; ;1; ; ;3; ; ;2;1;1;2;3;3; ;2;3;02;13;1562,46094396615
3156744;1;4;1;10;2;2;1;11;2004;8;3; ;1; ; ;3; ; ;2;1;1;1;3;2; ;2;2;02;13;1562,46094396615
3156746;1;1;1;10;1;1;1;9;1940;72;1;2;1; ; ;3; ; ;2;1;2; ;3;4; ;2;4;02;13;2134,82669166984
3156746;1;2;1;10;2;2;1;9;1956;56;2;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;02;13;2134,82669166984
3156746;1;3;1;10;3;2;1;7;1917;95;5;5;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;02;13;2134,82669166984
3156757;1;1;1;10;1;1;1;8;1957;55;1;2;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;02;13;1643,88033220908
3156757;1;2;1;10;2;2;1;9;1947;65;2;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;02;13;1643,88033220908
