Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011;Area
3705154;1;3;1;70;1;5;48;1; ;2;3;1; ;6;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;19;45;1;1;4530;04;41;104,612627316634;41
3705162;1;2;1;70;1;16;48;1; ;2;16;1; ;4;2; ; ; ; ; ; ; ; ; ;1; ;1;35000;2;16;16;22;1;2;2220;04;76;754,863589307851;76
3705165;1;3;1;70;1;17;56;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;59; ; ;1;2; ;04;76;728,44226012293;76
3705166;1;2;1;70;1;4;30;4; ;2;29;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;45;50;1;1;5030;04;76;846,816814916518;76
3705169;1;2;1;70;1;50;48;4; ;2;52;1; ;8;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;45;64;1;2;6421;04;76;1282,19347491796;76
3705185;1;2;1;70;1;52;48;1; ;2;8;1; ;7;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;80;19;1;2;1929;04;17;149,804775856151;17
3705185;1;4;1;70;1;8;24;1; ;2;20;1; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;59;52;1;1;5211;04;17;149,804775856151;17
3705199;1;1;1;70;1;24;40;1; ;2;59;5; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;45;51;1;2;5155;04;44;88,1445913651723;44
3705201;1;2;1;70;1;1;40;4; ;2;1;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;1;130000;2;63;63;20;1;1;2010;04;63;100,960239327886;63
3705201;1;6;1;70;1;4;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;03; ; ;1;1; ;04;63;100,960239327886;63
3705208;1;3;1;70;1;12;48;4; ;2;12;4; ;1;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2;70;41;52;1;1;5211;04;63;101,110145976844;63
3705214;1;2;1;70;1;12;48;3; ;2;12;3; ;1;5; ; ; ; ;1; ; ; ; ; ; ;2; ;2;54;54;95;1;1;9500;04;63;143,912832107013;63
3705214;1;3;1;70;1;52;30;4; ;2;99;4; ;1;1; ; ; ; ; ; ; ; ;1; ;PENSION;2; ;2;33;11;74;1;2;7412;04;63;143,912832107013;63
3705215;1;2;1;70;1;4;40;4; ;2;28;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;94;45;52;1;1;5261;04;63;155,566674600877;63
3705215;1;4;1;70;1;1;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;92; ; ;1;1; ;04;63;155,566674600877;63
3705220;1;1;1;70;1;1;48;4; ;2;1;1; ;9;2; ; ; ; ; ; ; ; ;1; ;ESTA ESTUIANDO;2; ;2;39;39;64;1;1;6421;04;63;144,794074159917;63
3705237;1;4;1;70;1;12;40;1; ;2;12;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;39;52;1;1;5235;04;20;101,428987597598;20
