DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P1806;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P1519;P1883;P7420;P7420S7A1;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7422;P7422S1;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;RAMA4D_D_R4;MES;DPTO;fex_c_2011
6,001,005;1;2;1;70;08;76;48;906,000;1;;2;76;4;;1;2;1;;2;;;;;;;;;;;1;2;;56;95;45;1;2;5619;11;08;583.221031
6,001,005;1;3;1;70;08;74;48;906,000;1;;2;74;1;;9;2;1;;2;;;;;;;;;;;1;2;;47;45;45;1;2;4772;11;08;583.221031
6,001,006;1;1;1;70;08;108;40;900,000;1;;2;108;4;;1;2;1;;2;;;;;;;;;;;1;2;;49;55;98;1;2;4921;11;08;525.18480803
6,001,008;1;3;1;70;08;4;48;910,000;1;;2;4;1;;7;2;1;;2;;;;;;;;;;;1;2;;33;85;84;1;1;3312;11;08;806.06085936
6,001,022;1;3;1;70;08;2;40;1,000,000;1;;2;3;1;;5;2;1;;2;;;;;;;;;;;1;1;980000;20;37;97;1;1;2023;11;08;616.25408622
6,001,022;1;4;1;70;08;12;40;900,000;1;;2;108;1;;9;2;1;;2;;;;;;;;;;;1;2;;85;03;03;1;1;8544;11;08;616.25408622
6,001,027;1;1;1;70;08;80;48;908,526;1;;2;20;1;;9;2;1;;2;;;;;;;;;;;1;2;;38;55;99;1;2;3811;11;08;598.63155755
6,001,048;1;4;1;70;08;15;48;850,000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;2;;11;08;575.73740332
6,001,050;1;1;1;70;08;48;48;900,000;1;;2;48;4;;1;2;2;;2;;;;;;;;;;;1;2;;41;95;95;1;2;4111;11;08;616.6929701
6,001,059;1;2;1;70;08;52;48;1,000,000;1;;2;52;4;;3;2;1;;2;;;;;;;;;;;1;2;;47;97;41;1;2;4741;11;08;706.02242206
6,001,060;1;3;1;70;08;52;48;900,000;1;;2;52;4;;4;2;1;;2;;;;;;;;;;;1;2;;15;45;99;1;2;1521;11;08;593.83941758
6,001,065;1;5;1;70;08;18;48;1,000,000;1;;2;25;1;;3;2;1;;2;;;;;;;;;;;1;2;;47;45;45;1;2;4723;11;08;560.42104871
6,001,067;1;5;1;70;08;106;48;500,000;1;;2;156;1;;4;2;1;;2;;;;;;;;;;;1;2;;56;45;53;1;2;5611;11;08;605.29213203
6,001,068;1;5;1;70;08;5;48;908,000;1;;2;53;1;;1;2;1;;2;;;;;;;;;;;1;2;;97;45;54;1;1;9700;11;08;765.10529258
6,001,071;1;2;1;70;08;48;48;900,000;1;;2;24;1;;4;2;1;;2;;;;;;;;;;;1;2;;49;32;32;1;2;4923;11;08;682.53058705
6,001,072;1;2;1;70;08;52;48;908,000;1;;2;104;1;;9;2;2;;2;;;;;;;;;;;1;2;;86;03;03;1;2;8610;11;08;580.04313265
6,001,073;1;3;1;70;08;52;48;400,000;3;;2;52;3;;1;2;8;;2;;;;;;;;;;;1;2;;97;54;54;1;2;9700;11;08;554.01168178
6,001,075;1;3;1;70;08;52;48;908,000;1;;2;54;1;;9;2;1;;2;;;;;;;;;;;1;2;;61;45;44;1;2;6120;11;08;922.12907371
6,001,075;1;4;1;70;08;100;48;600,000;1;;2;102;1;;9;2;1;;2;;;;;;;;;;;1;2;;47;97;45;1;2;4731;11;08;922.12907371
6,001,078;1;10;1;70;08;48;48;900,000;1;;2;48;1;;9;2;1;;2;;;;;;;;;;;1;2;;45;45;32;1;2;4511;11;08;457.34839998
6,001,083;1;1;1;70;08;52;48;908,526;1;;2;80;1;;9;2;8;;2;;;;;;;;;;;1;2;;10;87;87;1;2;1011;11;08;707.78182449
6,001,083;1;3;1;70;08;16;48;908,526;1;;2;20;1;;3;2;1;;2;;;;;;;;;;;1;2;;56;53;53;1;2;5611;11;08;707.78182449
6,001,083;1;7;1;70;08;104;48;908,526;1;;2;80;1;;4;2;8;;2;;;;;;;;;;;1;2;;28;03;03;1;2;2825;11;08;707.78182449
6,001,094;1;3;1;70;08;48;48;900,000;1;;2;48;4;;8;2;1;;2;;;;;;;;;;;1;2;;61;45;45;1;2;6120;11;08;634.55505149
6,001,113;1;1;1;70;08;4;40;900,000;3;;2;12;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;54;54;1;1;9700;11;08;601.25483035
6,001,118;1;1;1;70;08;4;48;1,000,000;1;;2;10;1;;9;2;1;;3;;;;1;;;;;;;;2;;42;97;97;1;1;4210;11;08;573.31062351
6,001,120;1;3;1;70;08;26;48;920,000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;2;;11;08;649.03707822
6,001,124;1;3;1;70;08;20;72;908,526;1;;2;20;1;;9;2;1;;2;;;;;;;;;;;1;2;;86;59;59;1;2;8610;11;08;474.88650754
6,001,126;1;1;1;70;08;3;40;2,000,000;4;;2;3;4;;2;2;1;;2;;;;;;;;;;;1;1;5000000;47;40;40;1;1;4711;11;08;656.5207059
6,001,126;1;3;1;70;08;8;40;1,000,000;1;;2;3;6;;2;2;1;;2;;;;;;;;;;;1;2;;47;45;45;1;1;4711;11;08;656.5207059
6,001,127;1;3;1;70;08;5;48;1,000,000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;38;;1;1;;11;08;540.43092183
6,001,130;1;6;1;70;08;12;48;908,000;1;;2;12;1;;5;2;1;;2;;;;;;;;;;;1;2;;31;81;81;1;1;3110;11;08;477.57972148
6,001,130;1;16;1;70;08;52;48;908,000;1;;2;52;1;;8;2;1;;2;;;;;;;;;;;1;2;;23;55;55;1;2;2393;11;08;477.57972148
