Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
2989200;1;3;1;70;2;16;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;50; ; ;1;2; ;06;15;1289,36987838601
2989220;1;2;1;70;2;2;40;1; ;2;2;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;87;87;28;1;1;2811;06;15;684,151932403867
2989220;1;3;1;70;2;48;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;03; ; ;1;2; ;06;15;684,151932403867
2989323;1;1;1;70;2;2;40;4; ;2;2;8; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;60000;2;61;62;01;1;1;0117;06;68;1430,34319673746
2989335;1;2;1;70;2;3;40;4; ;2;3;4; ;1;1; ; ; ; ; ; ; ;1; ; ; ;1;180000;2;61;61;01;1;1;0140;06;68;1353,44884045552
2989365;1;4;1;70;2;24;40;1; ;2;24;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;2;5521;06;68;1324,12822807181
2989367;1;6;1;70;2;8;40;3; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;1; ;06;68;2581,17676494182
2989494;1;3;1;70;2;4;48;1; ;2;24;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5233;06;70;1632,78144727743
2989496;1;4;1;70;2;4;40;3; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;1; ;06;70;1365,2290596601
2989589;1;5;1;70;2;1;50;3; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;1; ;06;70;2658,73605734489
2989618;1;2;1;70;2;12;24;4; ;2;12;3; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;54;95;1;1;9500;06;66;623,403307502223
2989618;1;3;1;70;2;36;48;3; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;2; ;06;66;623,403307502223
2989625;1;3;1;70;2;4;54;1; ;2;104;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;45;51;1;1;5141;06;66;589,97057218062
2989625;1;4;1;70;2;4;54;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;06;66;589,97057218062
2989634;1;4;1;70;2;52;60;3; ;2;520;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;2;9500;06;66;580,282021085252
2989645;1;2;1;70;2;4;60;8; ;2;4;8; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;150000;2;62;62;01;1;1;0117;06;66;419,500701042498
2989667;1;3;1;70;2;16;54;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;33; ; ;1;2; ;06;66;1706,29208397875
