DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7420S7A1,P7422,P7422S1,P9460,DSI,DSCY,OFICIO1,OFICIO2,RAMA2D_D,RAMA4D_D,DPTO,fex_c_2011
804270,1,3,1,70,11,12,56,1,,2,12,8,,2,9,TIENE CARNET DE VINCULADO,,,,,,,,,1,,2,,2,1,1,95,62,1,118,11,228.968.391.586.396
804274,1,2,1,70,11,24,50,1,,2,24,1,,9,9,TIENE CARNET DE VINCULADO,,,,,,,,,1,,2,,2,1,2,55,55,80,8043,11,212.057.831.633.125
804275,1,3,1,70,11,32,48,1,,2,32,1,,9,7,,,,,,,,,,1,,2,,2,1,2,90,90,24,2423,11,14.851.666.094.433
804278,1,2,1,70,11,3,48,4,,2,4,4,,1,2,,,,,,,,,,1,,1,30000,2,1,1,54,56,93,9301,11,161.557.170.580.824
804278,1,4,1,70,11,20,48,1,,2,12,1,,3,7,,,,,,,,,,1,,2,,2,1,2,58,58,74,7492,11,161.557.170.580.824
804279,2,3,2,70,11,50,50,1,,2,51,1,,9,4,,,,,,,,,,1,,2,,2,1,2,58,58,80,8050,11,111.239.623.564.647
804281,1,3,1,70,11,4,48,4,,2,4,4,,2,4,,,,,,,,,,1,,1,220000,2,1,1,79,79,18,1810,11,236.988.642.172.024
804284,1,1,1,70,11,8,48,1,,2,8,1,,9,4,,,,,,,,,,1,,2,,2,1,1,33,33,65,6512,11,250.263.017.341.777
804288,1,1,1,70,11,4,48,2,,2,4,4,,9,1,,,,,,,,,,1,,1,6000000,2,1,1,2,2,75,7512,11,135.131.712.712.652
804289,2,2,2,70,11,28,48,1,,2,28,1,,9,2,,,,,,,,,,1,,2,,2,1,2,97,39,64,6412,11,392.589.578.538.693
804293,1,2,1,70,11,2,48,1,,2,2,1,,9,7,,,,,,,,,,1,,1,800000,2,1,1,32,39,65,6593,11,210.588.946.226.891
804296,1,1,1,70,11,24,48,1,,2,96,2,,9,1,,,,,,,,,1,,YA  ES  PENSIONADO,2,,2,1,2,98,58,75,7522,11,236.124.949.313.975
804296,1,2,1,70,11,12,48,1,,2,48,1,,8,2,,,,,,,,,,1,,2,,2,1,1,59,59,85,8511,11,236.124.949.313.975
804297,1,2,1,70,11,4,60,1,,2,4,1,,2,2,,,,,,,,,,1,,2,,2,1,1,59,59,85,8514,11,354.262.474.063.544
